Section	Division	Group	Class	PkdSuffix	Description
N	80	80.3	80.30	PKD 80.30.Z	Działalność detektywistyczna
N	81	81.1	81.10	PKD 81.10.Z	Działalność pomocnicza związana z utrzymaniem porządku w budynkach
N	81	81.2	81.21	PKD 81.21.Z	Niespecjalistyczne sprzątanie budynków i obiektów przemysłowych
N	81	81.2	81.22	PKD 81.22.Z	Specjalistyczne sprzątanie budynków i obiektów przemysłowych
N	81	81.2	81.29	PKD 81.29.Z	Pozostałe sprzątanie
N	81	81.3	81.30	PKD 81.30.Z	Działalność usługowa związana z zagospodarowaniem terenów zieleni
N	82	82.1	82.11	PKD 82.11.Z	Działalność usługowa związana z administracyjną obsługą biura
N	82	82.1	82.19	PKD 82.19.Z	Wykonywanie fotokopii, przygotowywanie dokumentów i pozostała specjalistyczna działalność wspomagająca prowadzenie biura
N	82	82.2	82.20	PKD 82.20.Z	Działalność centrów telefonicznych (call center)
N	82	82.3	82.30	PKD 82.30.Z	Działalność związana z organizacją targów, wystaw i kongresów
N	82	82.9	82.91	PKD 82.91.Z	Działalność świadczona przez agencje inkasa i biura kredytowe
N	82	82.9	82.92	PKD 82.92.Z	Działalność związana z pakowaniem
N	82	82.9	82.99	PKD 82.99.Z	Pozostała działalność wspomagająca prowadzenie działalności gospodarczej, gdzie indziej niesklasyfikowana
O	84	84.1	84.11	PKD 84.11.Z	Kierowanie podstawowymi rodzajami działalności publicznej
O	84	84.1	84.12	PKD 84.12.Z	Kierowanie w zakresie działalności związanej z ochroną zdrowia, edukacją, kulturą oraz pozostałymi usługami społecznymi, z wyłączeniem zabezpieczeń społecznych
O	84	84.1	84.13	PKD 84.13.Z	Kierowanie w zakresie efektywności gospodarowania
O	84	84.2	84.21	PKD 84.21.Z	Sprawy zagraniczne
O	84	84.2	84.22	PKD 84.22.Z	Obrona narodowa
O	84	84.2	84.23	PKD 84.23.Z	Wymiar sprawiedliwości
O	84	84.2	84.24	PKD 84.24.Z	Bezpieczeństwo państwa, porządek i bezpieczeństwo publiczne
O	84	84.2	84.25	PKD 84.25.Z	Ochrona przeciwpożarowa
O	84	84.3	84.30	PKD 84.30.Z	Obowiązkowe zabezpieczenia społeczne
P	85	85.1	85.10	PKD 85.10.Z	Placówki wychowania przedszkolnego
P	85	85.2	85.20	PKD 85.20.Z	Szkoły podstawowe
P	85	85.3	85.31	PKD 85.31.A	Gimnazja
P	85	85.3	85.31	PKD 85.31.B	Licea ogólnokształcące
P	85	85.3	85.32	PKD 85.32.A	Technika
P	85	85.3	85.32	PKD 85.32.B	Branżowe szkoły I stopnia
P	85	85.3	85.32	PKD 85.32.C	Szkoły specjalne przysposabiające do pracy
P	85	85.3	85.32	PKD 85.32.D	Branżowe szkoły II stopnia
P	85	85.4	85.41	PKD 85.41.A	Szkoły policealne
P	85	85.4	85.41	PKD 85.41.B	Kolegia pracowników służb społecznych
P	85	85.4	85.41	PKD 85.41.C	Placówki doskonalenia nauczycieli
P	85	85.4	85.42	PKD 85.42.A	Zakłady kształcenia nauczycieli i kolegia pracowników służb społecznych
P	85	85.4	85.42	PKD 85.42.Z	Szkoły wyższe
P	85	85.5	85.51	PKD 85.51.Z	Pozaszkolne formy edukacji sportowej oraz zajęć sportowych i rekreacyjnych
P	85	85.5	85.52	PKD 85.52.Z	Pozaszkolne formy edukacji artystycznej
P	85	85.5	85.53	PKD 85.53.Z	Pozaszkolne formy edukacji z zakresu nauki jazdy i pilotażu
P	85	85.5	85.59	PKD 85.59.A	Nauka języków obcych
P	85	85.5	85.59	PKD 85.59.B	Pozostałe pozaszkolne formy edukacji, gdzie indziej niesklasyfikowane
P	85	85.6	85.60	PKD 85.60.Z	Działalność wspomagająca edukację
Q	86	86.1	86.10	PKD 86.10.Z	Działalność szpitali
Q	86	86.2	86.21	PKD 86.21.Z	Praktyka lekarska ogólna
Q	86	86.2	86.22	PKD 86.22.Z	Praktyka lekarska specjalistyczna
Q	86	86.2	86.23	PKD 86.23.Z	Praktyka lekarska dentystyczna
Q	86	86.9	86.90	PKD 86.90.A	Działalność fizjoterapeutyczna
Q	86	86.9	86.90	PKD 86.90.B	Działalność pogotowia ratunkowego
Q	86	86.9	86.90	PKD 86.90.C	Praktyka pielęgniarek i położnych
Q	86	86.9	86.90	PKD 86.90.D	Działalność paramedyczna
Q	86	86.9	86.90	PKD 86.90.E	Pozostała działalność w zakresie opieki zdrowotnej, gdzie indziej niesklasyfikowana
Q	87	87.1	87.10	PKD 87.10.Z	Pomoc społeczna z zakwaterowaniem zapewniająca opiekę pielęgniarską
Q	87	87.2	87.20	PKD 87.20.Z	Pomoc społeczna z zakwaterowaniem dla osób z zaburzeniami psychicznymi
Q	87	87.3	87.30	PKD 87.30.Z	Pomoc społeczna z zakwaterowaniem dla osób w podeszłym wieku i osób niepełnosprawnych
Q	87	87.9	87.90	PKD 87.90.Z	Pozostała pomoc społeczna z zakwaterowaniem
Q	88	88.1	88.10	PKD 88.10.Z	Pomoc społeczna bez zakwaterowania dla osób w podeszłym wieku i osób niepełnosprawnych
Q	88	88.9	88.91	PKD 88.91.Z	Opieka dzienna nad dziećmi
Q	88	88.9	88.99	PKD 88.99.Z	Pozostała pomoc społeczna bez zakwaterowania, gdzie indziej niesklasyfikowana
R	90	90.0	90.01	PKD 90.01.Z	Działalność związana z wystawianiem przedstawień artystycznych
R	90	90.0	90.02	PKD 90.02.Z	Działalność wspomagająca wystawianie przedstawień artystycznych
R	90	90.0	90.03	PKD 90.03.Z	Artystyczna i literacka działalność twórcza
R	90	90.0	90.04	PKD 90.04.Z	Działalność obiektów kulturalnych
R	91	91.0	91.01	PKD 91.01.A	Działalność bibliotek
R	91	91.0	91.01	PKD 91.01.B	Działalność archiwów
R	91	91.0	91.02	PKD 91.02.Z	Działalność muzeów
R	91	91.0	91.03	PKD 91.03.Z	Działalność historycznych miejsc i budynków oraz podobnych atrakcji turystycznych
R	91	91.0	91.04	PKD 91.04.Z	Działalność ogrodów botanicznych i zoologicznych oraz obszarów i obiektów ochrony przyrody
R	92	92.0	92.00	PKD 92.00.Z	DZIAŁALNOŚĆ ZWIĄZANA Z GRAMI LOSOWYMI I ZAKŁADAMI WZAJEMNYMI
R	93	93.1	93.11	PKD 93.11.Z	Działalność obiektów sportowych
R	93	93.1	93.12	PKD 93.12.Z	Działalność klubów sportowych
R	93	93.1	93.13	PKD 93.13.Z	Działalność obiektów służących poprawie kondycji fizycznej
R	93	93.1	93.19	PKD 93.19.Z	Pozostała działalność związana ze sportem
R	93	93.2	93.21	PKD 93.21.Z	Działalność wesołych miasteczek i parków rozrywki
R	93	93.2	93.29	PKD 93.29.A	Działalność pokojów zagadek, domów strachu, miejsc do tańczenia i w zakresie innych form rozrywki lub rekreacji organizowanych w pomieszczeniach lub w innych miejscach o zamkniętej przestrzeni
R	93	93.2	93.29	PKD 93.29.B	Pozostała działalność rozrywkowa i rekreacyjna, gdzie indziej niesklasyfikowana
S	94	94.1	94.11	PKD 94.11.Z	Działalność organizacji komercyjnych i pracodawców
S	94	94.1	94.12	PKD 94.12.Z	Działalność organizacji profesjonalnych
S	94	94.2	94.20	PKD 94.20.Z	Działalność związków zawodowych
S	94	94.9	94.91	PKD 94.91.Z	Działalność organizacji religijnych
S	94	94.9	94.92	PKD 94.92.Z	Działalność organizacji politycznych
S	94	94.9	94.99	PKD 94.99.Z	Działalność pozostałych organizacji członkowskich, gdzie indziej niesklasyfikowana
S	95	95.1	95.11	PKD 95.11.Z	Naprawa i konserwacja komputerów i urządzeń peryferyjnych
S	95	95.1	95.12	PKD 95.12.Z	Naprawa i konserwacja sprzętu (tele)komunikacyjnego
S	95	95.2	95.21	PKD 95.21.Z	Naprawa i konserwacja elektronicznego sprzętu powszechnego użytku
S	95	95.2	95.22	PKD 95.22.Z	Naprawa i konserwacja urządzeń gospodarstwa domowego oraz sprzętu użytku domowego i ogrodniczego
S	95	95.2	95.23	PKD 95.23.Z	Naprawa obuwia i wyrobów skórzanych
S	95	95.2	95.24	PKD 95.24.Z	Naprawa i konserwacja mebli i wyposażenia domowego
S	95	95.2	95.25	PKD 95.25.Z	Naprawa zegarów, zegarków oraz biżuterii
S	95	95.2	95.29	PKD 95.29.Z	Naprawa pozostałych artykułów użytku osobistego i domowego
S	96	96.0	96.01	PKD 96.01.Z	Pranie i czyszczenie wyrobów włókienniczych i futrzarskich
S	96	96.0	96.02	PKD 96.02.Z	Fryzjerstwo i pozostałe zabiegi kosmetyczne
S	96	96.0	96.03	PKD 96.03.Z	Pogrzeby i działalność pokrewna
S	96	96.0	96.04	PKD 96.04.Z	Działalność usługowa związana z poprawą kondycji fizycznej
S	96	96.0	96.09	PKD 96.09.Z	Pozostała działalność usługowa, gdzie indziej niesklasyfikowana
T	97	97.0	97.00	PKD 97.00.Z	GOSPODARSTWA DOMOWE ZATRUDNIAJĄCE PRACOWNIKÓW
T	98	98.1	98.10	PKD 98.10.Z	Gospodarstwa domowe produkujące wyroby na własne potrzeby
T	98	98.2	98.20	PKD 98.20.Z	Gospodarstwa domowe świadczące usługi na własne potrzeby
U	99	99.0	99.00	PKD 99.00.Z	ORGANIZACJE I ZESPOŁY EKSTERYTORIALNE
